Description,Item Category,Date of Retrieval,Department Name,College Name
Stacking Side Chair,furniture-seating,2023/12/5,Ambulatory Off-Site Services,"Healthcare Systems, UIC - MC"
Stacking Side Chair,furniture-seating,2023/12/5,Ambulatory Off-Site Services,"Healthcare Systems, UIC - MC"
Stacking Side Chair,furniture-seating,2023/12/5,Ambulatory Off-Site Services,"Healthcare Systems, UIC - MC"
OFFICE CHAIR,furniture-seating,2023/12/5,Ambulatory Off-Site Services,"Healthcare Systems, UIC - MC"
OFFICE CHAIR,furniture-seating,2023/12/5,Ambulatory Off-Site Services,"Healthcare Systems, UIC - MC"
3 Drawer Lateral Filing Cabinet,furniture-storage,2024/1/9,Psychology,Liberal Arts & Sciences
5 Drawer Lateral Filing Cabinet,furniture-storage,2024/1/9,Psychology,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Wood Office Desk,furniture-tables,2024/1/24,Biological Sciences,Liberal Arts & Sciences
OFFICE CHAIR,furniture-seating,2024/1/24,Biological Sciences,Liberal Arts & Sciences
Computer Table,furniture-tables,2024/1/24,Biological Sciences,Liberal Arts & Sciences
2 Drawer Filing Cabinet,furniture-storage,2024/4/9,Anatomy and Cell Biology,Coll Medicine at Chicago - BS
Tan Closet Cabinet,furniture-storage,2024/4/9,Ophthalmology & Visual Sci,Coll Medicine at Chicago - CS
5 Drawer Lateral File Cabinet,furniture-storage,2024/4/9,Ophthalmology & Visual Sci,Coll Medicine at Chicago - CS
Computer Table,furniture-tables,2024/4/9,Ophthalmology & Visual Sci,Coll Medicine at Chicago - CS
Metal Bookcase,furniture-storage,2024/4/9,Family and Community Medicine,Coll Medicine at Chicago - CS
Office Rolling Chair,furniture-seating,2024/4/9,School of Public Health Admin,School of Public Health
Office Rolling Chair,furniture-seating,2024/4/9,School of Public Health Admin,School of Public Health
Office Rolling Chair,furniture-seating,2024/4/9,School of Public Health Admin,School of Public Health
Office Rolling Chair,furniture-seating,2024/4/9,School of Public Health Admin,School of Public Health
Office Rolling Chair,furniture-seating,2024/4/9,School of Public Health Admin,School of Public Health
Office Rolling Chair,furniture-seating,2024/4/9,School of Public Health Admin,School of Public Health
Office Rolling Chair,furniture-seating,2024/4/9,School of Public Health Admin,School of Public Health
Office Rolling Chair,furniture-seating,2024/4/9,School of Public Health Admin,School of Public Health
3 Drawer Small Filing Cabinet,furniture-storage,2024/4/15,Theatre & Music Administration,"Architecture,Design,& the Arts"
3 Drawer Small Filing Cabinet,furniture-storage,2024/4/15,Theatre & Music Administration,"Architecture,Design,& the Arts"
Long Table Black,furniture-tables,2024/4/15,Theatre & Music Administration,"Architecture,Design,& the Arts"
Long Table Black,furniture-tables,2024/4/15,Theatre & Music Administration,"Architecture,Design,& the Arts"
Small Table Black,furniture-tables,2024/4/15,Theatre & Music Administration,"Architecture,Design,& the Arts"
Small Table Black,furniture-tables,2024/4/15,Theatre & Music Administration,"Architecture,Design,& the Arts"
Small Table Black,furniture-tables,2024/4/15,Theatre & Music Administration,"Architecture,Design,& the Arts"
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/4,LAS Administration,Liberal Arts & Sciences
4 Drawer Lateral File Cabinet,furniture-storage,2024/6/6,Recreation and Wellbeing,Vice Chanc for Student Affairs
White Pedestal Desk,furniture-tables,2024/6/6,Recreation and Wellbeing,Vice Chanc for Student Affairs
White Pedestal Desk,furniture-tables,2024/6/6,Recreation and Wellbeing,Vice Chanc for Student Affairs
White Pedestal Desk,furniture-tables,2024/6/6,Recreation and Wellbeing,Vice Chanc for Student Affairs
Round Table,furniture-tables,2024/6/6,Physics,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/6,Physics,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/6,Physics,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/6,Physics,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2024/6/6,Physics,Liberal Arts & Sciences
Wood Top Coffee Table,furniture-tables,2024/6/6,Physics,Liberal Arts & Sciences
Computer Table,furniture-tables,2024/6/6,Medicine,Coll Medicine at Chicago - CS
5 Drawer Lateral File Cabinet,furniture-storage,2024/6/6,Medicine,Coll Medicine at Chicago - CS
5 Drawer Lateral File Cabinet,furniture-storage,2024/6/6,Medicine,Coll Medicine at Chicago - CS
4 Drawer File Cabinet,furniture-storage,2023/6/29,Office for Access and Equity,Office for Access and Equity
Office Chair,furniture-seating,2025/4/9,Office for Access and Equity,Office for Access and Equity
Office Chair,furniture-seating,2025/4/9,Office for Access and Equity,Office for Access and Equity
Black Office Chair on wheels,furniture-seating,2025/4/9,Office for Access and Equity,Office for Access and Equity
Side Chair,furniture-seating,2024/9/26,Disability & Human Development,Applied Health Sciences
Side Chair,furniture-seating,2024/9/26,Disability & Human Development,Applied Health Sciences
Side Chair,furniture-seating,2024/9/26,Disability & Human Development,Applied Health Sciences
Side Chair,furniture-seating,2024/9/26,Disability & Human Development,Applied Health Sciences
Side Chair,furniture-seating,2024/9/26,Disability & Human Development,Applied Health Sciences
Side Chair,furniture-seating,2024/9/26,Disability & Human Development,Applied Health Sciences
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
