Description,Item category,Received Date,Department Name,College Name
"3 Old equipment wall rack	Middle Atlantic",decor-accessories,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"3 Old equipment rack	Middle Atlantic",decor-accessories,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
PHARM-134C-AV-RACK-1,decor-accessories,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Dell OptiPlex 7050 Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Dell	Optiplex 9020 Computer",computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Dell OptiPlex 9020 Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Dell OptiPlex 9020 Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Dell OptiPlex 9020 Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Dell OptiPlex 7050 Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Dell Optiplex 990 Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Dell OptiPlex 7050 Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Dell Optiplex 980 Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Dell	Optiplex 9020 Computer",computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Dell	Optiplex 9020 Computer",computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Dell	Optiplex 9020 Computer",computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Dell	Optiplex 9020 Computer",computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Dell	Optiplex 9020 Computer",computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Dell	Optiplex 9020 Computer",computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Lenovo ThinkCentre Computer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Dell	Optiplex 9020 Computer",computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Tele Presence System,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Tele Presence System,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Tele Presence System,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Echo 360 Pro Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Internet Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Internet Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Internet Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Internet Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Internet Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Internet Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Internet Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco Internet Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Cisco  Internet Switch,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
HP Color LaserJet Printer,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
DELL LASER PRINTER,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
DELL LASER PRINTER,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
HP LASERJET PRINTER,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
DELL LCD MONITOR,electronics-av,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
DELL LCD MONITOR,electronics-av,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
DELL LCD MONITOR,electronics-av,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Panasonic LCD Television,electronics-av,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Samsung	DVD Player",other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Epson LCD Projector,electronics-av,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Amana Deepfreeze Refridgerator,major-appliances,2024/9/3,Pharmacy Practice,Retzky College of Pharmacy
2 x Silver Desks,furniture-tables,2024/9/3,Pharmacy Practice,Retzky College of Pharmacy
3 x Silver Standing Cabinets,furniture-storage,2024/9/3,Pharmacy Practice,Retzky College of Pharmacy
Silver 2-Door Cabinet,furniture-storage,2024/9/3,Pharmacy Practice,Retzky College of Pharmacy
Silver Above-Desk Shelves,furniture-tables,2024/9/3,Pharmacy Practice,Retzky College of Pharmacy
Silver Drawers,furniture-storage,2024/9/3,Pharmacy Practice,Retzky College of Pharmacy
Kenmore Refridgerator,major-appliances,2024/9/3,Pharmacy Practice,Retzky College of Pharmacy
Panasonic LCD Television,electronics-av,2024/9/3,Pharmacy Practice,Retzky College of Pharmacy
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP PAVILION LAPTOP,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP PAVILION LAPTOP,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
ASUS LAPTOP,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP PAVILION LAPTOP,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL LASER PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP LASERJET PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP LASERJET PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP LASERJET PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP LASERJET PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP LASERJET PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP LASERJET PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
BROTHER LASER PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
BROTHER LASER PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
BROTHER LASER PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Samsung Laser Printer,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Samsung Laser Printer,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP LASERJET PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
HP Scan Scanner,electronics-av,2024/9/4,Disability & Human Development,Applied Health Sciences
HP Scan Scanner,electronics-av,2024/9/4,Disability & Human Development,Applied Health Sciences
HP Scan Scanner,electronics-av,2024/9/4,Disability & Human Development,Applied Health Sciences
Epson LCD Projector,electronics-av,2024/9/4,Disability & Human Development,Applied Health Sciences
Epson LCD Projector,electronics-av,2024/9/4,Disability & Human Development,Applied Health Sciences
table top,furniture-tables,2024/9/4,Disability & Human Development,Applied Health Sciences
4 lamps,decor-lighting,2024/9/4,Disability & Human Development,Applied Health Sciences
1 file cabinet,furniture-storage,2024/9/4,Disability & Human Development,Applied Health Sciences
1 bookshelf,furniture-storage,2024/9/4,Disability & Human Development,Applied Health Sciences
2 mini fridges,major-appliances,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
