Description,Item Category,Date of Retrieval,Department Name,College Name
Chair,furniture-seating,2025/2/26,Mechanical Sci & Engineering,Grainger Engineering
Stacking Chair,furniture-seating,2025/2/27,Civil & Environmental Eng,Grainger Engineering
Stacking Chair,furniture-seating,2025/2/27,Civil & Environmental Eng,Grainger Engineering
Table 5'x2',furniture-tables,2025/2/27,Food Science & Human Nutrition,"Agr, Consumer & Env Sciences"
Table 6'x2',furniture-tables,2025/2/27,IL Sustainable Technology Ctr,OVCRI Institutes
Table 6'x2',furniture-tables,2025/2/27,IL Sustainable Technology Ctr,OVCRI Institutes
Dell ST2420Lb Monitor,electronics-av,2025/2/27,Mechanical Sci & Engineering,Grainger Engineering
Dell Monitor U2412Mb,electronics-av,2025/2/27,Materials Science & Engineerng,Grainger Engineering
Dell Monitor P2213f,electronics-av,2025/2/27,Materials Science & Engineerng,Grainger Engineering
Dell P2412Hb Monitor,electronics-av,2025/2/27,Materials Science & Engineerng,Grainger Engineering
Dell P2412Hb Monitor,electronics-av,2025/2/27,Materials Science & Engineerng,Grainger Engineering
2 drawer file cabinet,furniture-storage,2025/2/27,Materials Science & Engineerng,Grainger Engineering
Dell Monitor,electronics-av,2025/2/27,Materials Science & Engineerng,Grainger Engineering
Desktop Dell Precision 3430,computing,2025/2/27,Materials Science & Engineerng,Grainger Engineering
Desktop Dell Precision 3430,computing,2025/2/27,Materials Science & Engineerng,Grainger Engineering
Desktop Dell Precision 3430,computing,2025/2/28,Student Financial Aid-Admin,Provost & Executive VC
Desktop Dell Precision 3430,computing,2025/2/28,Student Financial Aid-Admin,Provost & Executive VC
Desktop Dell Precision 3440,computing,2025/2/28,Student Financial Aid-Admin,Provost & Executive VC
Dell P2412Hb Monitor,electronics-av,2025/3/4,Civil & Environmental Eng,Grainger Engineering
Dell P2412Hb Monitor,electronics-av,2025/3/4,Civil & Environmental Eng,Grainger Engineering
3 Drawer Lateral Cabinet,furniture-storage,2025/3/4,Vet Medicine Administration,Veterinary Medicine
Table 5'x2',furniture-tables,2025/3/4,Vet Medicine Administration,Veterinary Medicine
Samsung Tablet SM-P610NZAAXAR,computing,2025/3/4,Fine & Applied Arts Admin,Fine & Applied Arts
Microsoft Surface 1796,computing,2025/3/4,Fine & Applied Arts Admin,Fine & Applied Arts
2412Mb Dell Monitor,electronics-av,2025/3/4,"Inst for Sustain, Enrgy, & Env",OVCRI Institutes
U2412Mb Dell Monitor,electronics-av,2025/3/4,"Inst for Sustain, Enrgy, & Env",OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/4,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/4,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/4,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/4,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/4,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/4,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/4,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/4,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/4,IL State Geological Survey,OVCRI Institutes
HP Printer LaserJet Pro M402n,computing,2025/3/4,"Educ Policy, Orgzn & Leadrshp",Education
Chair,furniture-seating,2025/3/4,Carle IL COM Administration,Carle Illinois Medicine
Dell P2414Hb Monitor,electronics-av,2025/3/5,Chemistry,Liberal Arts & Sciences
Dell P2312Ht Monitor,electronics-av,2025/3/5,Chemistry,Liberal Arts & Sciences
Desktop Dell Precision 3430,computing,2025/3/5,Chemistry,Liberal Arts & Sciences
Dell Monitor P2417H,electronics-av,2025/3/5,Chemistry,Liberal Arts & Sciences
Dell P2412Hb Monitor,electronics-av,2025/3/5,Mechanical Sci & Engineering,Grainger Engineering
Dell P2412Hb Monitor,electronics-av,2025/3/5,Mechanical Sci & Engineering,Grainger Engineering
Desktop Dell Precision 3430,computing,2025/3/5,Mechanical Sci & Engineering,Grainger Engineering
Desktop Dell Precision 3430,computing,2025/3/5,Mechanical Sci & Engineering,Grainger Engineering
